Time,GPS_X1,GPS_Y1,GPS_X2,GPS_Y2,GPS_MIDX,GPS_MIDY,GPS_MID_Theta,DR_X,DR_Y,DR_Theta,DR_X_r,DR_Y_r,DR_Theta_r,Kalman_X,Kalman_Y,Kalman_Theta,Painting
1742504666.8968318,6.4645851882502825,4.096435359710377,20.171728471182604,58.03875046679153,13.318156829716443,31.06759291325095,1.3219555950458928,31.836557501567434,23.306660857545,0.47340534079724417,15.188745075562078,35.007994844813595,0.4555199419783677,15.533438549679701,30.92945827571,1.2947636740981658,0
1742504666.9970574,7.798253140660449,6.254695924321172,20.486622291085865,60.73657618768861,14.142437715873157,33.4956360560049,1.3419834138668996,34.14666478186413,24.48038006263252,0.460989659202756,15.833070216126032,37.54084175348015,0.4555199419783677,16.366645665420712,33.28168476909018,1.3146447421966252,0
1742504667.0972807,8.63179567014356,8.412956488931972,20.19025167886639,63.40600371060518,14.411023674504975,35.90948009976857,1.3636314395013056,36.55708123679437,25.669978830227887,0.45156293799212605,16.447752964723765,40.09636918627729,0.4555199419783677,16.915345748487535,35.647100886376926,1.3376664036683654,0
1742504667.197504,9.150444300754401,10.798402395249479,20.282867480378286,65.83404685335913,14.716655890566344,38.3162246243043,1.3712126874930741,38.96464268184262,26.831477550654352,0.44305589689960634,17.050061834946483,42.716004367714106,0.4555199419783677,17.359349995477622,38.019602757743925,1.3525919755512283,0
1742504667.2976432,9.798755148244709,13.553024421306073,20.634807636680108,68.24789092738997,15.216781392462408,40.90045767434802,1.3752107729421732,41.36840108179689,27.966372764410057,0.43500869586614177,17.62522812559108,45.31886042931389,0.4555199419783677,17.83183612380528,40.49151930914349,1.360993909517001,0
1742504667.397751,10.59525134132926,15.966868480203342,21.26459535545564,70.69013312373342,15.92992334839245,43.328500801968374,1.3782428464921577,43.693346408821974,29.04128060323054,0.42903077509842524,18.168375558327057,47.8753250226595,0.4555199419783677,18.4052740840445,42.907594679418374,1.3661649088758654,0
1742504667.497923,11.891872957340865,20.538973103711403,22.098137805969742,75.74500656810108,16.995005381655304,48.14198983590623,1.3879845612458381,45.95561142422027,30.074275183558985,0.42673157480314966,18.675577196461898,50.348021291784164,0.4555199419783677,18.983558792046885,45.2344703327407,1.3749568178997105,0
1742504667.5980327,11.891872957340865,20.538973103711403,22.098137805969742,75.74500656810108,16.995005381655304,48.14198983590623,1.3879845612458381,48.19955450482517,31.093605866046353,0.42558197465551184,19.166793618000824,52.77838110946287,0.4555199419783677,19.44155596483393,47.63610810888039,1.3819673594493893,0
1742504667.6981387,12.243813192611697,22.967016246465345,22.57974017915103,78.20144786343478,17.411776685881364,50.584232054950064,1.3858074475102986,50.46430714395069,32.12113615436037,0.4269614948326772,19.64879830027478,55.18021449561228,0.4555199419783677,19.85853787855242,50.04771975179974,1.3848547812062355,0
1742504667.7982695,12.466091132034052,25.36666122150594,23.02429613696475,80.24611578745937,17.7451936344994,52.806388504482655,1.38072960359662,52.80206150564369,33.18599558275837,0.4285709350393701,20.15039611442132,57.6692479598271,0.4555199419783677,20.288876702491866,52.37727582730998,1.3834884262617286,0
1742504667.8984284,13.058832514411023,27.823102516839636,23.487375302462254,82.41857543592684,18.27310390843664,55.12083897638324,1.3820551304534638,55.11718961309921,34.24662310053902,0.4327094955708662,20.663405102805456,60.19395667303763,0.4555199419783677,20.793914429140624,54.706440404210305,1.3849353459117917,0
1742504667.9985309,13.799759163413228,29.96716401272734,24.043070348440665,84.81822039583386,18.921414755926946,57.39269220428059,1.3861751807541423,57.41423118045367,35.31091820553414,0.4368480561023622,21.168509110602322,62.636676047121405,0.4555199419783677,21.32499620864982,56.97147770318647,1.3887912010093426,0
1742504668.0987284,14.133176191000274,32.452003475774376,24.33944096066014,87.23206446986471,19.236308575830208,59.842033972819536,1.3865948286518448,59.666793575171255,36.36490226549558,0.440066936515748,21.696298585086026,65.13550908917597,0.4555199419783677,20.830720866725315,59.17464816648045,1.3884053197564252,0
1742504668.1989112,14.207268863797395,34.90844478624166,24.70990432464575,89.71690391777815,19.458586594221572,62.31267435200991,1.381467092487186,62.01046797771393,37.470105920299275,0.44236613681102366,22.224680609686246,67.59615149418387,0.4555199419783677,20.967014194945538,61.437200187967264,1.3850864414214519,0
1742504668.2990131,14.837056503603918,37.16609892271555,25.450830973647953,92.37213238710522,20.143943738625936,64.7691156549104,1.3808564330275948,64.34422229485305,38.578860443685514,0.4467346173720473,22.77345865667246,70.12094754088804,0.4555199419783677,21.478422926501246,63.80888872416492,1.383779726735621,0
1742504668.3991148,15.689122161801805,41.89439346864698,26.82154534142569,96.77384803460042,21.255333751613747,69.3341207516237,1.370659688230875,66.71352553695806,39.71684424602285,0.45202277805118113,23.34017815856022,72.67992139737117,0.4555199419783677,22.055771116410547,66.08101172060118,1.3782380864544919,0
1742504668.4992182,15.689122161801805,41.89439346864698,26.82154534142569,96.77384803460042,21.255333751613747,69.3341207516237,1.370659688230875,69.0165284042062,40.838001444360565,0.45662117864173235,23.913969550430437,75.2144186431239,0.4555199419783677,23.438510087996463,68.48984021094999,1.3778263063294414,0
1742504668.599437,16.15220132729931,44.67741366241691,27.247578170524633,99.30128473408388,21.69988974891197,71.9893491982504,1.3703994778260056,71.31435141091403,41.96973688154618,0.46075973917322843,24.491935866320677,77.70976774485136,0.4555199419783677,24.137853726219863,71.22130534637945,1.3764071764970414,0
1742504668.6996624,16.485618354886356,46.94926688274748,27.951458483128278,101.65833247268804,22.218538419007317,74.30379967771776,1.3642079298332537,73.58694924155479,43.102067849615175,0.4665077399114174,25.07735583644551,80.18808014304365,0.4555199419783677,23.753612340808097,73.56525482586079,1.3697669431030357,0
1742504668.7997727,16.763465838391056,49.519300864068114,28.692385132130482,104.25676459145487,22.72792548526077,76.8880327277615,1.3562215966359685,75.82639965433306,44.23404705771924,0.47179590059055126,25.66737320510782,82.62701365253591,0.4555199419783677,24.923707382336975,76.03986293023013,1.3666969201194004,0
1742504668.899911,16.893127976301514,51.86214950368203,29.359219187304575,106.37242791962925,23.126173581803044,79.11728871165565,1.3459701123638648,78.19293050427555,45.44466374119864,0.4770840612696851,26.28523771392995,85.12045648979276,0.4555199419783677,25.57929746151993,78.57330123613778,1.3571017620642742,0
1742504669.0000196,17.522915695077046,54.190799059439286,30.044576292224434,108.61588298738005,23.78374599365074,81.40334102340967,1.3446600339193713,80.5326589279349,46.658527609519176,0.4821423019192914,26.940593446234494,87.71197194298304,0.4555199419783677,26.247907616946502,81.02307355144251,1.3536574482714403,0
1742504669.1001284,18.097133790801223,56.57624495062322,30.50765545772194,110.93033345928063,24.30239462426158,83.75328920495193,1.3463171886507654,82.82738483261606,47.86207004266648,0.48628086245078744,27.6031375873201,90.27090658329243,0.4555199419783677,26.8152757255306,83.41838414306478,1.3517530095817483,0
1742504669.2002478,18.838060518772437,58.933292674093806,31.13744317649747,113.50036742546769,24.987751847634954,86.21683004978075,1.349101819006609,85.1239417895963,49.07811003849028,0.48972966289370085,28.255149874113965,92.74793988975384,0.4555199419783677,26.476843456666934,85.6072053296168,1.3511320775475446,0
1742504669.3003502,19.30113968426994,63.86037436375145,32.37849532739574,118.20026378855218,25.83981750583284,91.03031907615181,1.3346288140889842,87.3831611564951,50.28506695432874,0.49432806348425207,28.917836280180513,95.22984684163806,0.4555199419783677,27.674201637370754,87.98982375006943,1.350655269158062,0
