Time,GPS_X1,GPS_Y1,GPS_X2,GPS_Y2,Encoder_X,Encoder_Y,Kalman_X,Kalman_Y,Rot_x,Rot_yTheta,gps_middle_x,gps_middle_y,gps_angle
1740342097.750718,0.0,-5.556950064939059,2.129875010798676,-0.9817277961083448,0.0,0.0,0.30348591191918683,-5.535754765101102,0.0,0.0,0.0,0,0,0
1740342097.8508797,1.4199162780626464,-7.409266726929076,2.5842483549105832,-1.7597008604781195,0.0,0.0,1.168553961053951,-6.987448831295026,0.0,0.0,0.0,0,0,0
1740342097.9509888,0.0,-7.409266726929076,2.4280575074677153,-1.7041313163957739,0.0,0.0,0.2630978519644326,-7.314295175798154,0.0,0.0,0.0,0,0,0
1740342098.051097,1.4199162780626464,-7.409266726929076,2.8256341949158883,-1.2780984872968304,0.0,0.0,1.1594606609811655,-7.387884050618827,0.0,0.0,0.0,0,0,0
1740342098.1512327,1.4199162780626464,-7.409266726929076,3.180613348248662,-2.167210481893278,0.0,0.0,1.3612751577806155,-7.404452455278836,0.0,0.0,0.0,0,0,0
1740342098.2513459,1.4199162780626464,-9.261583388919092,3.5355925318487804,-1.4633301692896339,0.0,0.0,1.4067133338279831,-8.843453652730647,0.0,0.0,0.0,0,0,0
1740342098.3519776,1.4199162780626464,-9.261583388919092,4.060961685440101,-1.6115155148838767,0.0,0.0,1.4169436585829152,-9.167442220346599,0.0,0.0,0.0,0,0,0
1740342098.4520824,1.4199162780626464,-9.261583388919092,3.9473683721126327,-1.7597008604781195,0.0,0.0,1.4192469980585638,-9.240387671769236,0.0,0.0,0.0,0,0,0
1740342098.5522125,1.4199162780626464,-9.261583388919092,3.0244225159394666,-2.426534836683203,0.0,0.0,1.4197655908566589,-9.256811210792254,0.0,0.0,0.0,0,0,0
1740342098.6523404,1.4199162780626464,-9.261583388919092,3.933169189029609,-2.167210481893278,0.0,0.0,1.419882351105454,-9.260508941477033,0.0,0.0,0.0,0,0,0
1740342098.7531168,1.4199162780626464,-11.113900050909109,4.444339189805251,-2.4450579653979787,0.0,0.0,1.4199138204888593,-10.979645588235618,0.0,0.0,0.0,0,0,0
1740342098.8532498,1.4199162780626464,-11.113900050909109,4.785119205456017,-1.685608187680998,0.0,0.0,1.4199138204888593,-10.979645588235618,0.0,0.0,0.0,0,0,0
1740342098.953381,1.4199162780626464,-11.113900050909109,4.742521701607962,-2.2413031546903994,0.0,0.0,1.4199157124446335,-11.083000981758714,0.0,0.0,0.0,0,0,0
1740342099.0535178,2.839832556125293,-11.113900050909109,4.359144182109141,-3.03779934777495,0.0,0.0,2.519780155825801,-11.106935332311245,0.0,0.0,0.0,0,0,0
1740342099.1536503,2.839832556125293,-12.966216712899126,5.0691025493093775,-2.4821043017965394,0.0,0.0,2.784408366915628,-12.64424080228174,0.0,0.0,0.0,0,0,0
1740342099.2538912,2.839832556125293,-12.966216712899126,5.39568338187712,-2.4821043017965394,0.0,0.0,2.8222941498635845,-12.86433079616466,0.0,0.0,0.0,0,0,0
1740342099.353999,2.839832556125293,-12.966216712899126,4.998106694428947,-2.79699820066881,0.0,0.0,2.835800949074144,-12.94279588581883,0.0,0.0,0.0,0,0,0
1740342099.4541051,2.839832556125293,-14.818533374889142,5.125899205973112,-3.612017522468136,0.0,0.0,2.838923880309995,-14.395764669868683,0.0,0.0,0.0,0,0,0
1740342099.5542073,2.839832556125293,-14.818533374889142,4.3875425331415165,-3.4638321768738933,0.0,0.0,2.8396279583322395,-14.72334261206377,0.0,0.0,0.0,0,0,0
1740342099.6543152,2.839832556125293,-14.818533374889142,4.998106694428947,-3.6675869875814726,0.0,0.0,2.8397864911689674,-14.79710128480316,0.0,0.0,0.0,0,0,0
1740342099.7544568,2.839832556125293,-14.818533374889142,5.097500870074408,-3.630540651182912,0.0,0.0,2.839822184680631,-14.813707977145528,0.0,0.0,0.0,0,0,0
1740342099.854559,4.259748834187939,-14.818533374889142,4.643127541096173,-3.5749711860695754,0.0,0.0,3.940054864965873,-14.817446945137108,0.0,0.0,0.0,0,0,0
1740342099.9547493,4.259748834187939,-16.67085003687916,4.998106694428947,-3.982480807484734,0.0,0.0,4.187770303951791,-16.253559617534215,0.0,0.0,0.0,0,0,0
1740342100.0549686,4.259748834187939,-16.67085003687916,4.628928358013149,-4.352944171470341,0.0,0.0,4.243542995754985,-16.5768978390038,0.0,0.0,0.0,0,0,0
1740342100.1550756,4.259748834187939,-16.67085003687916,4.9697083585302435,-4.482606309380799,0.0,0.0,4.2561001184049285,-16.649696866146613,0.0,0.0,0.0,0,0,0
1740342100.2552123,4.259748834187939,-16.67085003687916,4.756720869557314,-4.704884327772163,0.0,0.0,4.2589273323001935,-16.666087438002723,0.0,0.0,0.0,0,0,0
1740342100.3553472,4.259748834187939,-16.67085003687916,4.8277166941704,-4.945685474878303,0.0,0.0,4.259563874494802,-16.66977774618834,0.0,0.0,0.0,0,0,0
1740342100.4555774,4.259748834187939,-18.523166698869176,5.3530858780290655,-4.853069673366406,0.0,0.0,4.259707190841046,-18.105879463057544,0.0,0.0,0.0,0,0,0
1740342100.5557582,4.259748834187939,-18.523166698869176,5.52347586315394,-5.205009829668228,0.0,0.0,4.2597394582622385,-18.429215217762394,0.0,0.0,0.0,0,0,0
1740342100.6559613,5.679665112250586,-18.523166698869176,5.409882534692799,-5.631042658767171,0.0,0.0,5.359971369415993,-18.502013689515824,0.0,0.0,0.0,0,0,0
1740342100.7560623,5.679665112250586,-18.523166698869176,5.60867087085005,-5.7236584602790685,0.0,0.0,5.607686633010834,-18.51840413632698,0.0,0.0,0.0,0,0,0
1740342100.8561628,4.259748834187939,-18.523166698869176,5.779060886242269,-5.631042658767171,0.0,0.0,4.5632346390985745,-18.522094416358946,0.0,0.0,0.0,0,0,0
1740342100.9562626,5.679665112250586,-20.375483360859192,6.219235047271153,-5.945936478670433,0.0,0.0,5.428302771149105,-19.958196126889405,0.0,0.0,0.0,0,0,0
